,Type,Closed,Start,End,SL.counts,Element,Midline
skull__LM_CondylusOccipitalis,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Cranial_Facial_Hinge,landmark,NA,NA,NA,NA,Skull,TRUE
skull__LM_Premaxilla_ventromedial,landmark,NA,NA,NA,NA,Skull,TRUE
skull__LM_Processus_Suprameatica,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Processus_Zygomaticus,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Pterygoid_Anterior_Lateral,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Pterygoid_Anterior_Medial,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Pterygoid_Posterior,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Quadrate_Lateral_Mandibular_Condyle,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Quadrate_Medial_Mandibular_Condyle,landmark,NA,NA,NA,NA,Skull,NA
skull__LM_Quadrate_Optical_Process,landmark,NA,NA,NA,NA,Skull,NA
skull__semiLM_Basioccipital_Basisphenoid,semilandmark,FALSE,first...skull__semiLM_Basioccipital_Basisphenoid,last...skull__semiLM_Basioccipital_Basisphenoid,NA,Skull,TRUE
skull__semiLM_Cranial_Vault,semilandmark,FALSE,skull__LM_Cranial_Facial_Hinge,first...skull__semiLM_Foramen_Magnum,NA,Skull,TRUE
skull__semiLM_Foramen_Magnum,semilandmark,FALSE,first...skull__semiLM_Foramen_Magnum,last...skull__semiLM_Foramen_Magnum,NA,Skull,NA
skull__semiLM_Jugal_Beak,semilandmark,FALSE,first...skull__semiLM_Jugal_Beak,skull__LM_Cranial_Facial_Hinge,NA,Skull,NA
skull__semiLM_Nasal_Apperture,semilandmark,TRUE,NA,NA,NA,Skull,NA
skull__semiLM_Orbit,semilandmark,FALSE,first...skull__semiLM_Orbit,last...skull__semiLM_Orbit,NA,Skull,NA
