R_name,Prum_name,Genus,Species,Family,Order,Prum_genus,Prum_species,Prum_family,Prum_Order,Mass_M_(hbw_alive),Mass_F_(hbw_alive),obligate walk,facultative walk,Ground_running_specialised,unclear walking just in case,Documented_walking_ability,Terr0_Arb1,Nesting_substrate (ground 0),Hopping,Perching,Anisodactyl,Zygodactyl,Heterodactyl,Pamprodactyl,Hanging_Clinging,Scansorial,Raptorial,Digit_manip,Force_grip,Hold_down,Flightless,Swimming_ability,Surface_foot_propelled_swimming,Webbed_feet,Palmate0_Totipalmate1,Submerged_foot_propelled_swimming,SubFP swim type,Beak_use_Andrew,ndiet-Inv,ndiet-Vend,ndiet-Vect,ndiet-Vfish,ndiet-Vunk,ndiet-Scav,ndiet-Fruit,ndiet-Nect,ndiet-Seed,ndiet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,Exclusive_pelagic_soaring,Soaring_over_land,Ubiquitous ,Recorded,Ubiquitous ,Recorded,Wing_propelled_diving,Ubiquitous ,Recorded,Sallying_flight,Ubiquitous ,Recorded,Aerial_pursuit_hunting,Ubiquitous ,Recorded,Cluttered_flight,Recorded,Migratory_flight,Ubiquitous ,Recorded,Escape_burst_flight
Acanthisitta_chloris_YPM_125219,Acanthisitta,Acanthisitta,chloris,Acanthisittidae,Passeriformes,Acanthisitta,,,,6,7,0,1,0,,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,20,60,20,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Accipiter_nisus_NHMUK_S1982.149.1,Accipiter,Accipiter,nisus,Accipitridae,Accipitriformes,Accipiter,superciliosus,Accipitridae,Accipitriformes,150.5,272.5,0,1,0,,1,2,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,,Tearing,0,100,0,0,0,0,0,0,0,0,VertFishScav,0,0,20,20,20,20,20,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0
Alcedo_atthis_NHMUK_S_1994.7.1,Alcedo,Alcedo,atthis,Alcedinidae,Coraciiformes,Alcedo,quadribrachys,Alcedinidae,Coraciiformes,29,32.5,0,1,0,,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,,Grabbing/gleaning,30,0,0,70,0,0,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
Anas_discors_NHMUK_S2001.41.5,Anas,Anas,discors,Anatidae,Anseriformes,Anas,superciliosa,Anatidae,Anseriformes,431,366,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,foot,Probing,30,0,0,70,0,0,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
Anhinga_anhinga_FMNH_491374,Anhinga,Anhinga,anhinga,Anhingidae,Suliformes,Anhinga,anhinga,Anhingidae,Suliformes,1085,1085,1,1,0,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,foot,Grabbing/gleaning,20,0,20,60,0,0,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
Anser_fabalis_NHMUK_1895.2.6.9_,Anser,Anser,fabalis,Anatidae,Anseriformes,Anser,canagicus,Anatidae,Anseriformes,3375,2845,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,foot,Pecking/grazing,0,0,0,0,0,0,20,0,0,80,PlantSeed,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Anseranas semipalmata NHMUK 1852.7.22.1,Anseranas,Anseranas,semipalmata,Anseranatidae,Anseriformes,Anseranas,semipalmata,Anseranatidae,Anseriformes,2516.5,2516.5,0,1,0,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,foot,Pecking/grazing,0,0,0,0,0,0,0,0,30,70,PlantSeed,0,40,60,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0
Apaloderma_narino_FMNH_290897_,Apaloderma,Apaloderma,narino, Trogonidae,Trogoniformes,Apaloderma,aequatoriale, Trogonidae,Trogoniformes,73,73,0,0,0,,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,90,0,10,0,0,0,0,0,0,0,Invertebrate,0,0,0,30,70,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Aramus_guarauna_FMNH_376078,Aramus,Aramus,guarauna,Aramidae,Gruiformes,Aramus,,,,1250,1025,1,1,0,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,NA,0,,Probing,50,0,20,0,30,0,0,0,0,0,Omnivore,0,50,50,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,1,NA,NA,0
Archilochus_colubris_FMNH_484738,Archilochus,Archilochus,colubris,Trochilidae,Apodiformes,Archilochus,colubris,Trochilidae,Apodiformes,3,3.3,0,0,0,,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Probing,40,0,0,0,0,0,0,60,0,0,FruiNect,0,0,0,40,40,0,20,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0
