,masses,Exclusive_pelagic_soaring,Soaring_over_land,Wing_propelled_diving,Sallying_flight,Aerial_pursuit_hunting,Cluttered_flight,Migratory_flight,Escape_burst_flight,Flap_bounding,Flap_gliding,Hovering,Source
Acanthisitta_chloris,6.5,0,0,0,0,0,1,0,0,1,0,0,
Accipiter_superciliosus,211.5,0,1,0,0,1,1,1,0,1,0,0,"Hilty 2003, Birds of Venezuela"
Alcedo_quadribrachys,30.75,0,0,0,0,0,1,1,0,1,1,1,Birds of the World text mentions hovering capacity in Alcedo atthis
Anas_superciliosa,398.5,0,0,0,0,0,1,1,0,0,0,0,"Bruderer et al., 2010; anas"
Anhinga_anhinga,1085,0,1,0,0,0,1,1,0,0,0,0,"Close et al., 2012; Anhinga novaehollandia"
Anser_canagicus,3110,0,0,0,0,0,1,1,0,0,0,0,Birds of the World; continuous flapping in A.fabalis 
Anseranas_semipalmata,2516.5,0,0,0,0,0,0,0,0,0,0,0,
Apaloderma_aequatoriale,73,0,0,0,0,0,1,0,0,0,1,0,Based on presumed similarity to other trogons. 
Aramus_guarauna,1137.5,0,0,0,0,0,1,1,0,0,0,0,Birds of the World footage; continuous flapping 
Archilochus_colubris,3.15,0,0,0,1,1,1,1,0,0,0,1,Tobalske 2001
Ardea_herodias,1200,0,1,0,0,0,1,1,0,0,0,0,"Bruderer et al., 2010; ardea"
Ardeotis_kori,10425,0,0,0,0,0,0,0,0,0,0,0,"Close et al., 2012; Ardeotis australis"
Arenaria_interpres,137,0,0,0,0,0,0,1,0,0,0,0,"I think youtube videos show this bird flaps continuously and rapidly, only gliding when it approaches landing."
Aythya_valisineria,845.5,0,0,0,0,0,0,1,0,0,0,0,"Bruderer et al., 2010: Aythya"
Balaeniceps_rex,5915,0,1,0,0,0,1,0,0,0,0,0,
Balearica_regulorum,3500,0,0,0,0,0,1,0,0,0,0,0,
Barnardius_zonarius,152.5,0,0,0,0,0,1,0,0,0,1,0,I think parrots in general practice flap-gliding flight styles. 
Bonasa_umbellus,630,0,0,0,0,0,1,0,1,0,1,0,"Youtube videos of different grouse species show flapping and gliding behaviours, combined with sudden burst flight. "
Bucco_capensis,54,0,0,0,1,0,1,0,0,0,0,0,"Hartman, F.A., 1961. Locomotor mechanisms of birds. Puffbirds are described as sedentary with occasional sallying. I suspect they do not bound, glide or hover. "
Bucorvus_leadbeateri,4000,0,0,0,0,0,1,0,0,0,1,0,Some miscellaneous mentions of this behaviour in hornbills. B.abyssynicus shows interspersed flaps and glides when descending; not flap-gliding sensu strictu. 
Burhinus_oedicnemus,334.5,0,0,0,0,0,0,1,0,0,0,0,Video footage of senegalensis shows continuous flapping. I noticed an error and have corrected its migratory flight score. (this perhaps does not matter; B.senegalensis does not migrate and may be the original specimen name).
Buteo_jamaicensis,1197.5,0,1,0,1,0,1,0,0,0,1,0,"Bruder et al., 2010: some birds in genus use intermittent flight. It is difficult to tell from video footage on Birds of the World whether this is flap-gliding or inter-spersed soaring. "
Calandrella_brachydactyla,23,0,0,0,0,0,1,1,0,1,1,0,Youtube videos show that other lark species can flap-bound and glide
Calyptomena_viridis,57.9,0,0,0,0,0,1,0,0,1,0,1,"Gulson-Catillo et al.,  Gulson-Castillo et al ‘notes on nesting…’ 2019 mentions hovering in this genus"
Capito_niger,54.5,0,0,0,0,0,1,0,0,0,0,0,'Birds of the world’ describes flight of this species as ‘fluttering’. Hartman 1961 describe this genus’s flight as ‘weak’. Surmise they exhibit none of the behaviours. 
Caprimulgus_europaeus,67.5,0,0,0,1,1,1,0,0,0,1,1,"Videos show this bird gliding and hovering, but it does not look like it bounds. Its attempts to hover are ungainly, but it sustains them for a second or so. Also Bruderer et al., 2010"
Caracara_cheriway,1158.5,0,1,0,0,0,1,1,0,0,1,0,Videos appear to show flap-gliding
Cariama_cristata,1862.5,0,0,0,0,0,0,0,0,0,0,0,This bird appears very terrestrialised. The bird even runs away from vehicles instead of flying.
