,masses,obligate.walk,facultative.walk,Ground_running_specialised,Documented_walking_ability,Hopping,Perching,Hanging_Clinging,Scansorial,Raptorial,Digit_manip,Force_grip,Hold_down,Swimming_ability,Surface_foot_propelled_swimming,Submerged_foot_propelled_swimming
Acanthisitta_chloris,6.5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Accipiter_superciliosus,211.5,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
Alcedo_quadribrachys,30.75,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Anas_superciliosa,398.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Anhinga_anhinga,1085,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
Anser_canagicus,3110,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Anseranas_semipalmata,2516.5,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
Apaloderma_aequatoriale,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aramus_guarauna,1137.5,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
Archilochus_colubris,3.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ardea_herodias,1200,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ardeotis_kori,10425,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Arenaria_interpres,137,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Aythya_valisineria,845.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Balaeniceps_rex,5915,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Balearica_regulorum,3500,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
Barnardius_zonarius,152.5,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Bonasa_umbellus,630,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Bucco_capensis,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bucorvus_leadbeateri,4000,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Burhinus_oedicnemus,334.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Buteo_jamaicensis,1197.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Calandrella_brachydactyla,23,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Calyptomena_viridis,57.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Capito_niger,54.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Caprimulgus_europaeus,67.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Caracara_cheriway,1158.5,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0
Cariama_cristata,1862.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Cathartes_burrovianus,1220,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Pipra_erythrocephala,13.45,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Chaetura_brachyura,23.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charadrius_hiaticula,96.5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Chauna_torquata,2620,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Chelidoptera_tenebrosa,35.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chloroceryle_inda,121,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
